City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Butaritari,KI,80.73,clear sky,3.0707,172.7902,Isles Sunset Lodge
1,Cayenne,GF,82.4,light rain,4.9333,-52.3333,Hôtel Le Dronmi
2,Banda Aceh,ID,79.84,scattered clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
10,Atuona,PF,78.93,scattered clouds,-9.8,-139.0333,Villa Enata
17,Manokwari,ID,78.8,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
18,Pak Chong,TH,84.99,broken clouds,14.708,101.4161,PakChong Phubade Hotel
23,Atambua,ID,75.33,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
24,Rikitea,PF,77.05,overcast clouds,-23.1203,-134.9692,Pension Maro'i
25,Neiafu,TO,77.0,moderate rain,-18.65,-173.9833,Mystic Sands
27,Port Moresby,PG,77.0,scattered clouds,-9.4431,147.1797,Lamana Hotel
35,Bengkulu,ID,78.31,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
37,Kanniyakumari,IN,79.32,clear sky,8.0833,77.5667,Sparsa
38,Puerto Ayora,EC,80.6,clear sky,-0.7393,-90.3518,Castillo Galapagos
41,Hithadhoo,MV,82.26,broken clouds,-0.6,73.0833,Scoop Guest House
56,Santa Rosa,PH,80.01,few clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
57,Soyo,AO,87.8,broken clouds,-6.1349,12.3689,Hotel Mpampa
60,Vaini,TO,77.0,broken clouds,-21.2,-175.2,Keleti Beach Resort
65,Arraial Do Cabo,BR,78.8,light rain,-22.9661,-42.0278,Pousada Porto Praia
68,Mbandaka,CD,88.54,broken clouds,0.0487,18.2603,Guest House Epervier
72,Mayumba,GA,82.51,moderate rain,-3.432,10.6554,LIKWALE LODGE
73,Meulaboh,ID,80.22,few clouds,4.1363,96.1285,Kost Pria
75,Port Blair,IN,79.72,clear sky,11.6667,92.75,Welcomhotel Bay Island Port Blair
76,Mount Isa,AU,78.8,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
78,Chuy,UY,76.14,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
79,Kavieng,PG,82.87,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
86,Jalu,LY,78.89,overcast clouds,29.0331,21.5482,صاحبة الفخامة
87,Antofagasta,CL,75.0,few clouds,-23.65,-70.4,Holiday Inn Express Antofagasta
89,Chimbote,PE,76.86,broken clouds,-9.0853,-78.5783,Hotel Briliá
93,Bridgetown,BB,84.2,scattered clouds,13.1,-59.6167,Hilton Barbados Resort
96,Cape Town,ZA,75.0,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
99,Mahina,PF,75.2,light rain,-17.5065,-149.489,Guest Beach Bungalow Tahiti
100,Kimberley,ZA,89.6,scattered clouds,-28.7323,24.7623,Welgewandel Guesthouse
101,Denpasar,ID,77.0,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
103,Cidreira,BR,76.77,broken clouds,-30.1811,-50.2056,Hotel Castelo
106,Richards Bay,ZA,80.78,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
110,Nueva Helvecia,UY,84.0,clear sky,-34.3,-57.2333,La Posada de Ofelia
113,Santa Cruz,BO,87.8,scattered clouds,-17.8,-63.1667,Hotel Cortez
119,Pucallpa,PE,84.2,broken clouds,-8.3791,-74.5539,Hotel Sol de Oriente - Pucallpa
122,Bairiki,KI,80.6,moderate rain,1.3292,172.9752,Tarawa Boutique Hotel
123,Salalah,OM,75.2,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
133,Carnarvon,AU,78.8,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
136,Auki,SB,78.06,overcast clouds,-8.7676,160.7034,Auki Motel
137,Touros,BR,89.6,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
145,Poum,NC,79.75,overcast clouds,-20.2333,164.0167,Gîte kajeon
154,Lazaro Cardenas,MX,76.75,few clouds,17.9583,-102.2,Collection O Hotel Quinta Antigua
157,Saint-Pierre,RE,82.4,light rain,-21.3393,55.4781,Lindsey Hôtel
160,Santa Ines,BR,88.27,scattered clouds,-3.6667,-45.38,HOTEL TOP
163,Natal,BR,89.6,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
166,Daru,PG,79.48,broken clouds,-9.0763,143.2092,Daru Lodge
170,Antalaha,MG,81.25,broken clouds,-14.9003,50.2788,Hotel Vitasoa
171,Zambezi,ZM,79.07,overcast clouds,-13.5432,23.1047,Royal Kutachika Lodge
174,Manono,CD,81.14,light rain,-7.3,27.4167,Hotel hewa bora
176,Yulara,AU,82.4,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
179,Lorengau,PG,81.91,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
182,Moron,AR,89.01,clear sky,-34.6534,-58.6198,Hotel Morón
183,Parnamirim,BR,89.6,broken clouds,-5.9156,-35.2628,Pousada Joaci
185,Avarua,CK,77.0,light rain,-21.2078,-159.775,Paradise Inn
187,Saint-Joseph,RE,82.4,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
