City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Butaritari,KI,3.0707,172.7902,80.73,81,6,17.63,clear sky
1,Cayenne,GF,4.9333,-52.3333,82.4,89,75,14.97,light rain
2,Banda Aceh,ID,5.5577,95.3222,79.84,81,30,6.38,scattered clouds
3,Kyra,RU,49.5776,111.9753,0.64,87,92,2.35,overcast clouds
4,Cherskiy,RU,68.75,161.3,-2.72,74,65,2.17,broken clouds
5,Ushuaia,AR,-54.8,-68.3,57.2,54,20,14.97,few clouds
6,Kapaa,US,22.0752,-159.319,57.2,82,1,8.05,clear sky
7,Svetlyy,RU,54.675,20.1347,10.4,85,20,8.95,few clouds
8,Flinders,AU,-34.5833,150.8552,68.0,80,89,4.0,overcast clouds
9,Iqaluit,CA,63.7506,-68.5145,23.0,58,75,8.05,broken clouds
10,Atuona,PF,-9.8,-139.0333,78.93,76,39,21.21,scattered clouds
11,Grand Forks,US,47.9417,-97.4337,-18.0,69,1,8.05,clear sky
12,Airai,TL,-8.9266,125.4092,61.54,100,100,2.24,moderate rain
13,Hermanus,ZA,-34.4187,19.2345,72.0,61,56,1.99,broken clouds
14,Busselton,AU,-33.65,115.3333,63.0,98,100,1.01,overcast clouds
15,Torbay,CA,47.6666,-52.7314,34.0,51,20,40.29,few clouds
16,Provideniya,RU,64.3833,-173.3,-3.78,77,0,15.43,clear sky
17,Manokwari,ID,-0.8667,134.0833,78.8,83,96,2.19,overcast clouds
18,Pak Chong,TH,14.708,101.4161,84.99,43,69,3.62,broken clouds
19,Kahului,US,20.8947,-156.47,64.0,77,40,3.44,scattered clouds
20,Mataura,NZ,-46.1927,168.8643,52.79,90,99,1.83,overcast clouds
21,Thompson,CA,55.7435,-97.8558,-36.4,61,75,13.8,snow
22,Wilmington Island,US,32.0036,-80.9737,46.4,87,90,11.5,overcast clouds
23,Atambua,ID,-9.1061,124.8925,75.33,90,100,3.62,overcast clouds
24,Rikitea,PF,-23.1203,-134.9692,77.05,73,92,10.58,overcast clouds
25,Neiafu,TO,-18.65,-173.9833,77.0,94,75,12.66,moderate rain
26,Saint George,US,37.1041,-113.5841,30.2,64,1,0.74,clear sky
27,Port Moresby,PG,-9.4431,147.1797,77.0,100,40,5.75,scattered clouds
28,Lake Havasu City,US,34.4839,-114.3224,53.01,31,1,2.75,clear sky
29,Bredasdorp,ZA,-34.5322,20.0403,71.6,49,87,12.66,overcast clouds
30,Hovd,MN,48.0056,91.6419,14.34,87,80,0.98,broken clouds
31,East London,ZA,-33.0153,27.9116,73.4,78,20,11.5,few clouds
32,Bougouni,ML,11.417,-7.479,98.91,10,84,7.7,broken clouds
33,Upernavik,GL,72.7868,-56.1549,18.82,81,29,2.53,scattered clouds
34,Husavik,IS,66.0449,-17.3389,32.0,80,75,3.44,broken clouds
35,Bengkulu,ID,-3.8004,102.2655,78.31,84,100,6.64,overcast clouds
36,Yellowknife,CA,62.456,-114.3525,-45.99,65,1,5.75,clear sky
37,Kanniyakumari,IN,8.0833,77.5667,79.32,69,0,18.3,clear sky
38,Puerto Ayora,EC,-0.7393,-90.3518,80.6,78,0,12.66,clear sky
39,Santander,ES,43.4647,-3.8044,52.0,54,90,3.44,overcast clouds
40,Albany,US,42.6001,-73.9662,25.0,68,90,7.34,light snow
41,Hithadhoo,MV,-0.6,73.0833,82.26,72,64,11.9,broken clouds
42,Suntar,RU,62.1444,117.6319,-2.18,89,100,9.4,overcast clouds
43,Bluff,NZ,-46.6,168.3333,54.59,90,100,4.03,overcast clouds
44,Hilo,US,19.7297,-155.09,64.4,63,20,8.05,few clouds
45,Batagay-Alyta,RU,67.8006,130.4114,-34.02,81,0,1.45,clear sky
46,Manihari,IN,25.35,87.6333,62.55,48,0,6.04,clear sky
47,Novikovo,RU,51.1537,37.8879,3.94,90,24,8.99,few clouds
48,Verkhnyaya Toyma,RU,62.2349,44.9985,-16.24,86,100,7.07,overcast clouds
49,Punta Arenas,CL,-53.15,-70.9167,59.0,47,0,10.36,clear sky
50,Fort Frances,CA,48.5999,-93.4003,-25.6,68,1,10.36,clear sky
51,Thinadhoo,MV,0.5333,72.9333,82.06,74,40,12.5,scattered clouds
52,Wladyslawowo,PL,54.7909,18.4009,24.01,79,75,6.91,broken clouds
53,New Norfolk,AU,-42.7826,147.0587,55.4,62,90,8.05,overcast clouds
54,Hobart,AU,-42.8794,147.3294,55.4,62,90,8.05,overcast clouds
55,Maryville,US,35.7565,-83.9705,36.0,93,90,3.44,mist
56,Santa Rosa,PH,14.3122,121.1114,80.01,83,20,4.61,few clouds
57,Soyo,AO,-6.1349,12.3689,87.8,74,75,8.05,broken clouds
58,Cabo San Lucas,MX,22.8909,-109.9124,60.8,67,40,2.17,scattered clouds
59,Nanortalik,GL,60.1432,-45.2371,34.14,83,100,20.24,overcast clouds
60,Vaini,TO,-21.2,-175.2,77.0,100,75,8.05,broken clouds
61,Komsomolskiy,UZ,40.4272,71.7189,46.18,82,100,5.77,overcast clouds
62,Stephenville,US,32.2207,-98.2023,37.0,93,90,11.5,overcast clouds
63,Port Alfred,ZA,-33.5906,26.891,69.01,93,42,1.99,scattered clouds
64,Haines Junction,CA,60.7522,-137.5108,-27.4,68,60,1.14,broken clouds
65,Arraial Do Cabo,BR,-22.9661,-42.0278,78.8,78,75,8.05,light rain
66,Ialibu,PG,-6.2821,143.9935,57.43,98,100,2.26,overcast clouds
67,Yarmouth,US,41.7057,-70.2286,41.0,60,90,6.91,light rain
68,Mbandaka,CD,0.0487,18.2603,88.54,48,76,2.08,broken clouds
69,Ponta Do Sol,PT,32.6667,-17.1,64.0,68,97,8.01,overcast clouds
70,Abeche,TD,13.8292,20.8324,90.39,9,0,9.22,clear sky
71,Kyabe,TD,9.4515,18.9449,96.03,8,63,6.22,broken clouds
72,Mayumba,GA,-3.432,10.6554,82.51,79,74,7.49,moderate rain
73,Meulaboh,ID,4.1363,96.1285,80.22,76,18,1.92,few clouds
74,Gat,IL,31.61,34.7642,64.99,100,0,8.23,clear sky
75,Port Blair,IN,11.6667,92.75,79.72,77,0,10.18,clear sky
76,Mount Isa,AU,-20.7333,139.5,78.8,94,90,5.75,overcast clouds
77,Kruisfontein,ZA,-34.0033,24.7314,71.01,81,100,5.01,light rain
78,Chuy,UY,-33.6971,-53.4616,76.14,59,1,6.62,clear sky
79,Kavieng,PG,-2.5744,150.7967,82.87,77,33,10.16,scattered clouds
80,Mankono,CI,8.0586,-6.1897,96.51,28,82,2.24,broken clouds
81,Castro,BR,-24.7911,-50.0119,72.48,47,0,3.56,clear sky
