City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kruisfontein,ZA,2021-02-02 23:17:19,-34.0033,24.7314,66.99,84,0,1.01
1,Adrar,MR,2021-02-02 23:18:11,20.5022,-10.0711,70.39,22,89,8.41
2,Gandajika,CD,2021-02-02 23:18:11,-6.75,23.95,65.39,93,59,2.75
3,Dehui,CN,2021-02-02 23:18:11,44.5333,125.7,-11.2,58,0,8.95
4,Kodiak,US,2021-02-02 23:14:29,57.79,-152.4072,35.6,80,90,14.97
5,Hobart,AU,2021-02-02 23:16:28,-42.8794,147.3294,62.01,63,75,3.44
6,Albany,US,2021-02-02 23:17:50,42.6001,-73.9662,26.01,87,100,12.84
7,Russellville,US,2021-02-02 23:16:07,35.2784,-93.1338,50.0,46,1,4.61
8,Saint George,US,2021-02-02 23:18:11,37.1041,-113.5841,66.2,39,90,2.64
9,Leningradskiy,RU,2021-02-02 23:18:11,69.3833,178.4167,-4.38,87,100,17.36
10,Chilca,PE,2021-02-02 23:18:12,-12.5211,-76.7372,73.99,73,0,9.22
11,Los Llanos De Aridane,ES,2021-02-02 23:15:22,28.6585,-17.9182,64.4,72,90,10.36
12,Butaritari,KI,2021-02-02 23:15:03,3.0707,172.7902,81.95,84,84,18.37
13,Haines Junction,CA,2021-02-02 23:18:12,60.7522,-137.5108,-5.8,45,70,2.3
14,Raymondville,US,2021-02-02 23:18:12,26.4815,-97.7831,71.6,30,1,5.75
15,Atuona,PF,2021-02-02 23:18:12,-9.8,-139.0333,78.37,74,2,13.78
16,Bambous Virieux,MU,2021-02-02 23:18:12,-20.3428,57.7575,79.0,78,40,6.91
17,Nome,US,2021-02-02 23:13:16,64.5011,-165.4064,12.2,57,40,14.97
18,Ponta Do Sol,PT,2021-02-02 23:18:12,32.6667,-17.1,60.01,74,62,1.99
19,Vaini,TO,2021-02-02 23:18:12,-21.2,-175.2,82.4,89,75,8.05
20,Jamestown,US,2021-02-02 23:14:11,42.097,-79.2353,26.01,93,90,13.8
21,Ostrovnoy,RU,2021-02-02 23:18:13,68.0531,39.5131,25.2,94,100,17.4
22,Kavaratti,IN,2021-02-02 23:18:13,10.5669,72.642,80.64,70,3,1.92
23,Port Macquarie,AU,2021-02-02 23:18:13,-31.4333,152.9167,77.0,60,16,1.99
24,Castro,BR,2021-02-02 23:18:13,-24.7911,-50.0119,68.99,90,85,2.28
25,Kapaa,US,2021-02-02 23:18:13,22.0752,-159.319,78.8,69,20,18.41
